date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:06	92713/92713	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/index.html	(from )
00:01:07	72/72	---M--	200	added ('OK')	text/plain	date:Tue,%2030%20Jul%202019%2006:25:10%20GMT	https://designreset.com/robots.txt		(from )
00:01:07	4286/4286	---M--	200	added ('OK')	image/x-icon	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/favicon.ico	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/assets/img/favicon.ico	(from https://designreset.com/cork/ltr/demo3/)
00:01:07	431/431	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/assets/css/loader.css	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/assets/css/loader.css	(from https://designreset.com/cork/ltr/demo3/)
00:01:08	156/156	---M--	200	added ('OK')	application/javascript	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/assets/js/loader.js	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/assets/js/loader.js	(from https://designreset.com/cork/ltr/demo3/)
00:01:08	346/346	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/assets/css/plugins.css	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/assets/css/plugins.css	(from https://designreset.com/cork/ltr/demo3/)
00:01:09	11469/11469	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/plugins/apex/apexcharts.css	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/plugins/apex/apexcharts.css	(from https://designreset.com/cork/ltr/demo3/)
00:01:09	160403/160403	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/bootstrap/css/bootstrap.min.css	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/bootstrap/css/bootstrap.min.css	(from https://designreset.com/cork/ltr/demo3/)
00:01:10	26855/26855	---M--	200	added ('OK')	text/css	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/assets/css/dashboard/dash_1.css	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/assets/css/dashboard/dash_1.css	(from https://designreset.com/cork/ltr/demo3/)
00:01:10	92713/92713	---M-Z	200	added ('OK')	text/html	date:Sat,%2019%20Dec%202020%2013:51:49%20GMT	https://designreset.com/cork/ltr/demo3/index.html	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/index-2.html	(from https://designreset.com/cork/ltr/demo3/)
00:01:10	1080/1080	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2019%20Dec%202020%2013:51:50%20GMT	https://designreset.com/cork/ltr/demo3/assets/img/logo.svg	C:/Users/USER/Desktop/Gaatevest%202/Gaatevest%202/designreset.com/cork/ltr/demo3/assets/img/logo.svg	(from https://designreset.com/cork/ltr/demo3/)
